resolution_topics;gender;name;resolution_category;retweet_count;text;tweet_coord;tweet_created;tweet_date;tweet_id;tweet_location;tweet_state;user_timezone;tweet_region
Other;male;POLAROlDLAUREN;Family/Friends/Relationships;0;#NewYearsResolution hold hands with Michael Clifford;;2014-12-31T12:35:00;2014-12-31;5,5039E+17;?? LA ??;CA;Pacific Time (US & Canada);West
Make more time for friends;male;POLAROlDLAUREN;Family/Friends/Relationships;0;#NewYearsResolution kiss Calum Hood's cheek;;2014-12-31T12:35:00;2014-12-31;5,5039E+17;?? LA ??;CA;Pacific Time (US & Canada);West
Go to Europe;female;JuliaWDHarrison;Recreation & Leisure;0;#NewYearsResolution: continue to avoid watching the @BigBang_CBS and anything having to do with @CuocoSweeting;;2014-12-31T12:34:00;2014-12-31;5,5039E+17;Los Angeles, CA;CA;Pacific Time (US & Canada);West
Be More Confident;female;labricoleuse;Personal Growth;0;"3. Wear more eyeliner. 

RT @DrRubidium: 1. Kick more ass
2. Take more names

#NewYearsResolution";;2014-12-31T12:33:00;2014-12-31;5,50389E+17;Chapel Hill, NC;NC;Eastern Time (US & Canada);South
Humor about Family/Friends/Relationships Resolutions;male;sargchante;Humor;0;New Years Resolution #1 : To not be able to remember anything from tonight. #NewYearsEve #NewYearsResolution #smashed;;2014-12-31T12:31:00;2014-12-31;5,50389E+17;Brooklyn, New York;NY;Eastern Time (US & Canada);Northeast
Learn to let things go;female;ktinamaude;Personal Growth;0;"Starting tomorrow the ""do nothing"" part of break is over and I start hardcore studying for the LSAT. #FeelingTerrified #NewYearsResolution";;2014-12-31T12:31:00;2014-12-31;5,50389E+17;Lawrence, Kansas;KS;Central Time (US & Canada);Midwest
Humor about New Years;male;Bobby_Budds;Humor;0;#NewYearsResolution Let @Bourdain know that he is a fuck boi;;2014-12-31T12:31:00;2014-12-31;5,50389E+17;Chicago;IL;Mountain Time (US & Canada);Midwest
Humor about New Years;male;JediBrewer;Humor;0;#NewYearsResolution get even more fucked up than I did in 2014;;2014-12-31T12:30:00;2014-12-31;5,50389E+17;Calvert County;MD;Eastern Time (US & Canada);South
Acheive My Goals;female;Giana_Ciapponi;Personal Growth;0;Stop allowing lukewarm showers to anger me into oblivion #NewYearsResolution;;2014-12-31T12:30:00;2014-12-31;5,50388E+17;San Francisco;CA;Pacific Time (US & Canada);West
Spend more time on my hobby;female;BabeinArmor;Recreation & Leisure;0;Doing dishes, listening to #LOTR http://t.co/gL7Vp1d0E5 #NewYearsResolution;;2014-12-31T12:29:00;2014-12-31;5,50388E+17;Milwaukee, WI;WI;Central Time (US & Canada);Midwest
Be more positive;female;JoslynSinger;Personal Growth;0;"""You see it's leaders and there's followers
But I'd rather be a dick than a swallower."" #NewYearsResolution #HappyNewYear #kaynewest";;2014-12-31T12:29:00;2014-12-31;5,50388E+17;The Windy City;IL;Central Time (US & Canada);Midwest
Humor about Health and Fitness Resolutions;male;Daddypantz1220;Humor;0;#NewYearsResolution - i'm not eating a single fortune cookie until 2016;;2014-12-31T12:28:00;2014-12-31;5,50388E+17;#indiana #palebluedot;IN;Indiana (East);Midwest
Re-organize;male;keithspisak;Time Management/Organization;0;#NewYearsResolution #1: block all those on social media that post articles about how to or not to parent.;;2014-12-31T12:26:00;2014-12-31;5,50388E+17;Kansas City, MO;MO;Central Time (US & Canada);Midwest
Humor about Personal Growth and Interests Resolutions;female;Dinabaybe;Humor;0;#NewYearsResolution not to kill myself or anyone around me;;2014-12-31T12:25:00;2014-12-31;5,50387E+17;NYC;NY;Central Time (US & Canada);Northeast
Acheive My Goals;male;refreakasoid;Personal Growth;0;@YouTube my goal for the year was 400 subscribers! I'm at 349...lets make this goal a reality! #NewYearsResolution http://t.co/YrxVf5eWBs;;2014-12-31T12:24:00;2014-12-31;5,50387E+17;Chicago;IL;Central Time (US & Canada);Midwest
Acheive My Goals;female;Child_Please93;Personal Growth;2;RT @InvincibleDuece: Everything I do this year will have purpose if it don't benefit me I ain't wit it #2015 is my turn to be selfish #NewY??_;;2014-12-31T12:24:00;2014-12-31;5,50387E+17;baltimore md.;MD;Central Time (US & Canada);South
Improve my body;female;Twyla81;Health & Fitness;0;@Dolphinsglow yes u can. Have faith. I quit a year 1/2 ago. You can do this. Good luck #NewYearsResolution need a little advice let me know;;2014-12-31T12:24:00;2014-12-31;5,50387E+17;Indiana;IN;Central Time (US & Canada);Midwest
Appreciate what I have;female;angelicchica01;Personal Growth;0;"I'm a little early but,I plan to not give a flying fvck about what other people say and just be ME!! 
That would be #1. #NewYearsResolution";;2014-12-31T12:23:00;2014-12-31;5,50387E+17;Greenwood,Mississippi;MS;;South
Other;female;_em_cool;Personal Growth;0;Enter a glitz pageant and WIN #NewYearsResolution  #2015 #mississippi;;2014-12-31T12:23:00;2014-12-31;5,50387E+17;California;CA;;West
Humor about Family/Friends/Relationships Resolutions;male;JoePrettyman;Humor;0;My #NewYearsResolution for 2015 is to slap the shit out of anyone that brings up Back To The Future 2.;;2014-12-31T12:22:00;2014-12-31;5,50387E+17;Los Angeles, CA;CA;Pacific Time (US & Canada);West
See a Concert/Show;male;BigBrother1988;Recreation & Leisure;1;@tvtag I need to catch up on episodes 3-6 of #JaneTheVirgin before it comes back next month. #NewYearsResolution;;2014-12-31T12:22:00;2014-12-31;5,50387E+17;Baltimore, Maryland;MD;;South
Humor about Finance Resolutions;male;_PitterPatter;Humor;0;Marry rich  #NewYearsResolution;[29.46222103, -98.70787402];2014-12-31T12:22:00;2014-12-31;5,50387E+17;San Antonio, Tejas;TX;Central Time (US & Canada);South
Use more social media;male;alaskablog;Personal Growth;0;My New Years resolution is to not be an asshole anymore.... Or any less. #NewYearsResolution;;2014-12-31T12:19:00;2014-12-31;5,50386E+17;Anchorage, Alaska;AK;Pacific Time (US & Canada);West
Humor about not Keeping Resolutions;female;NoisyAstronomer;Humor;9;"RT @DrRubidium: 1. Kick more ass
2. Take more names

#NewYearsResolution";;2014-12-31T12:19:00;2014-12-31;5,50386E+17;Edwardsville, IL;IL;Central Time (US & Canada);Midwest
Be more positive;male;nothimagain_84;Personal Growth;0;No more false resolutions that will be broken by February.  #NewYearsResolution #WordsToLiveBy;;2014-12-31T12:18:00;2014-12-31;5,50386E+17;Denver,CO;CO;Mountain Time (US & Canada);West
Eat healthier;male;MiguelAPinzon;Health & Fitness;2;More red meat in 2015 #NewYearsResolution;[37.79078158, -122.40285231];2014-12-31T12:18:00;2014-12-31;5,50385E+17;Los Angeles;CA;;West
Run a half / full marathon;female;sarhazy;Health & Fitness;0;Unrealistic #NewYearsResolution is to run every day;;2014-12-31T12:17:00;2014-12-31;5,50385E+17;Gainesville/Tampa;FL;Eastern Time (US & Canada);South
Be better at keeping in touch with loved ones or friends;female;becswish;Family/Friends/Relationships;1;"My #NewYearsResolution is to get #starbswiththegirls with @JessiTomlinson &amp; @itsashleymorgan.
_?????????";;2014-12-31T12:17:00;2014-12-31;5,50385E+17;Charleston, SC;SC;Eastern Time (US & Canada);South
Spread Peace;female;monimustache;Philanthropic;0;#NewYearsResolution finish my community service;[0.0, 0.0];2014-12-31T12:16:00;2014-12-31;5,50385E+17;Los Angeles, CA;CA;Pacific Time (US & Canada);West
Learn better time management practices;female;natmmom;Time Management/Organization;0;"#NewYearsResolution for 2015. http://t.co/g7nuqMqzj2 @LumeneUS My resolution spending less tie on tech &amp; more people time face to face";;2014-12-31T12:16:00;2014-12-31;5,50385E+17;MI;MI;Eastern Time (US & Canada);Midwest
Improve my attitude;male;aaronsescapades;Personal Growth;0;2015 will be the year I bite off more than I can chew and then chew it! #HappyNewYear #NewYearsResolution #Unstoppable #BringOn2015;;2014-12-31T12:15:00;2014-12-31;5,50385E+17;California;CA;;West
Take a trip;female;ChristineOMFG;Recreation & Leisure;0;#NewYearsResolution burn through a whole candle for Pete's sake http://t.co/ODUt7rqndK;;2014-12-31T12:15:00;2014-12-31;5,50385E+17;Cleveland, Ohio, USA;OH;Eastern Time (US & Canada);Midwest
Be more positive;male;pauljoiner;Personal Growth;0;"Your ""want to"" should never be bigger than your ""will to."" #newyearsresolution #newyears #2015";;2014-12-31T12:15:00;2014-12-31;5,50385E+17;San Diego. CA;CA;Pacific Time (US & Canada);West
Eat healthier;male;AlanLiang92;Health & Fitness;0;I swore in not to eat ANY more deep fried food for 2015! #NewYearsResolution;;2014-12-31T12:14:00;2014-12-31;5,50384E+17;Oakland, CA;CA;Pacific Time (US & Canada);West
Improve my attitude;female;Kmarttt18;Personal Growth;0;#NewYearsResolution is to keep trying to make positive impressions on people and be the best person I can be! _??;;2014-12-31T12:13:00;2014-12-31;5,50384E+17;Lancaster, Pa ???;PA;;Northeast
Other;male;Adam__Bomb;Recreation & Leisure;0;I just want summer and more tattoos. _?? #NewYearsResolution;;2014-12-31T12:12:00;2014-12-31;5,50384E+17;Indiana;IN;Quito;Midwest
Other;male;DrMRFrancis;Health & Fitness;0;"That's a resolution I can get behind. RT @DrRubidium: 3. Drink more milk

http://t.co/80DpjC20zr

#NewYearsResolution";;2014-12-31T12:12:00;2014-12-31;5,50384E+17;Cleveland, Ohio;OH;Eastern Time (US & Canada);Midwest
Be better at keeping in touch with loved ones or friends;female;SavingAmy77;Family/Friends/Relationships;0;"For my #NewYearsResolution, I've decided to try to be nicer to @AlmostShawn.  And I'm going to stalk @imcorinnemec a little less.  

#Maybe?";;2014-12-31T12:12:00;2014-12-31;5,50384E+17;Ohio;OH;Eastern Time (US & Canada);Midwest
Acheive My Goals;male;MrLlamaLlamaEwe;Personal Growth;2;RT @IWYarnFest: #NewYearsResolution for fiber fanatics like us! Think they'll mind at work too? LOL -- Happy New Year! http://t.co/F74PVJjV??_;;2014-12-31T12:09:00;2014-12-31;5,50383E+17;Ridgfield Park Nj;NJ;;Northeast
Take a trip;male;HUNKER_GAMES;Recreation & Leisure;0;I want to create more memories in 2015 than the year before #NewYearsResolution;;2014-12-31T12:07:00;2014-12-31;5,50383E+17;OH-IO;OH;;Midwest
Humor about New Years;female;kauffold;Humor;0;Have a safe and happy #NewYearsEve!  #NewYearsResolution http://t.co/5QRhgQxMpy;;2014-12-31T12:07:00;2014-12-31;5,50383E+17;Michigan, USA;MI;Atlantic Time (Canada);Midwest
Humor about not Keeping Resolutions;female;AuPairHouston;Humor;0;My #NewYearsResolution is the same every year- to NOT make any New Years resolutions! And I always keep it!;[0.0, 0.0];2014-12-31T12:06:00;2014-12-31;5,50382E+17;Houston, TX;TX;;South
Humor about Personal Growth and Interests Resolutions;female;pfaay_;Humor;0;???@itsmarshallw: #NewYearsResolution: start wearing pants to check mail.?? Oh;;2014-12-31T12:04:00;2014-12-31;5,50382E+17;New Jersey;NJ;Central Time (US & Canada);Northeast
Improve my body;female;HeavenFernald;Health & Fitness;0;My goal #newyearsresolution http://t.co/Awz7GwPjJk;;2014-12-31T12:03:00;2014-12-31;5,50382E+17;Barstow, California;CA;;West
Use more social media;female;lichi618;Personal Growth;0;"#NewYearsResolution
To regain confidence in myself.";;2014-12-31T12:02:00;2014-12-31;5,50381E+17;Tennessee;TN;;South
See a Concert/Show;female;Haley_1D;Recreation & Leisure;0;#NewYearsResolution to meet One Direction and to get in shape!!!;;2014-12-31T12:00:00;2014-12-31;5,50381E+17;Illinois, USA;IL;Central Time (US & Canada);Midwest
Acheive My Goals;male;MisterSkinz;Personal Growth;0;#NewYearsResolution get my blue belt, drink lots of beer, and paint lots of sneakers;;2014-12-31T12:00:00;2014-12-31;5,50381E+17;Yonkers, NY;NY;Central Time (US & Canada);Northeast
Eat healthier;male;AlexMascitti;Health & Fitness;0;#NewYearsResolution Get phat;;2014-12-31T11:59:00;2014-12-31;5,50381E+17;Atlanta;GA;Eastern Time (US & Canada);South
Humor about Recreation and Leisure Resolutions;female;_goldensequence;Humor;1;my #NewYearsResolution is 1080p.;;2014-12-31T11:59:00;2014-12-31;5,50381E+17;Grand Rapids, MI;MI;;Midwest
Make new friends;female;Ally_B77;Family/Friends/Relationships;0;#NewYearsResolution get a follow from these dudes @Michael5SOS @Luke5SOS @Ashton5SOS @Calum5SOS bc idk it would be nice and cool thx;;2014-12-31T11:58:00;2014-12-31;5,50381E+17;Nashville;TN;;South
Be more positive;male;AndrewCharz;Personal Growth;0;Stay high. Love life. #NewYearsResolution;;2014-12-31T11:56:00;2014-12-31;5,5038E+17;East Haven, Connecticut ;CT;Central Time (US & Canada);Northeast
Humor about Recreation and Leisure Resolutions;female;trishannnn;Humor;0;Learn how to friggin park cuz after 4 months of driving I still suck at it #NewYearsResolution;[41.9761973, -87.66671];2014-12-31T11:55:00;2014-12-31;5,5038E+17;Chicago, IL;IL;Central Time (US & Canada);Midwest
Humor about New Years;female;AmandaJupena;Humor;0;my #NewYearsResolution is eat my bananas before they go brown.;;2014-12-31T11:54:00;2014-12-31;5,5038E+17;City of Champions, Pittsburgh;PA;Eastern Time (US & Canada);Northeast
Go to the gym more;male;georgemorris44;Health & Fitness;0;Which is why my New Years resolution is to become a better athlete all around, for both me and my horse. #lt #NewYearsResolution;;2014-12-31T11:54:00;2014-12-31;5,5038E+17;Zone 6;GA;;South
Go to the gym more;male;TheRealJacoby;Health & Fitness;0;#NewYearsResolution hit the #gym harder than I did last year #StriveForGreatness;;2014-12-31T11:54:00;2014-12-31;5,50379E+17;cc,tx;TX;;South
Focus on My Future;female;rogersjw12;Personal Growth;0;What is your New Year's resolution? Mine is to read at least one new book per month! #NewYearsResolution #NewYearsEve #NYE2015;;2014-12-31T11:54:00;2014-12-31;5,50379E+17;Green Bay, Wisconsin ;WI;Central Time (US & Canada);Midwest
Humor about Personal Growth and Interests Resolutions;male;DustinVissering;Humor;0;Never wear sunglasses in the gym! #NewYearsResolution http://t.co/1ZDERlt0ZL;;2014-12-31T11:53:00;2014-12-31;5,50379E+17;Surprise, AZ;AZ;Central Time (US & Canada);West
Humor about not Resolutions in general;male;cmutty;Humor;0;2015 resolution: be a sarcastic asshole on Twitter... Check! #NewYearsEve #NewYearsResolution #NewYear #fuckyallimgoinghome;;2014-12-31T11:50:00;2014-12-31;5,50379E+17;Boston, MA;MA;Eastern Time (US & Canada);Northeast
Humor about Finance Resolutions;female;GabsterSmitty;Humor;0;I have one #NewYearsResolution for 2015. I resolve to win the lottery. Not just a dollar or two either. Big jackpot. #dreamofphilanthropy;;2014-12-31T11:50:00;2014-12-31;5,50378E+17;Atlanta Metro, Georgia, USA;GA;Eastern Time (US & Canada);South
Volunteer more;female;jbrew4you;Philanthropic;0;"Happy New Year! How about a #NewYearsResolution for the planet? I support @WWF with a daily tweet.
?_?http://t.co/nemVp9N7Py";;2014-12-31T11:49:00;2014-12-31;5,50378E+17;Wilmington, NC;NC;Eastern Time (US & Canada);South
Find a charity to support;male;1roxxfoxx;Philanthropic;0;"Happy New Year! How about a #NewYearsResolution for the planet? I support @WWF with a daily tweet.
?_?http://t.co/LAEUM5EWJ5";;2014-12-31T11:49:00;2014-12-31;5,50378E+17;Jackson, TN ;TN;;South
Other;male;willzamora61;Personal Growth;0;#NewYearsResolution, post more bathroom selfies.;;2014-12-31T11:47:00;2014-12-31;5,50378E+17;Los Angeles, California;CA;Pacific Time (US & Canada);West
Learn to let things go;male;MelloMellor;Personal Growth;0;My 2015 #NewYearsResolution is whatever it was last year but this time I REALLY MEAN IT.;;2014-12-31T11:46:00;2014-12-31;5,50378E+17;Portland, OR;OR;;West
Donate more to charity;female;JanColPA;Philanthropic;0;"Happy New Year! How about a #NewYearsResolution for the planet? I support @WWF with a daily tweet.
?_?http://t.co/GN7aDrcN9X";;2014-12-31T11:46:00;2014-12-31;5,50378E+17;Mountains of Western PA;PA;Eastern Time (US & Canada);Northeast
Gossip Less;female;AshleyMarie1114;Personal Growth;0;#NewYearsResolution Be less gullible _??;[39.91241316, -74.99626212];2014-12-31T11:46:00;2014-12-31;5,50377E+17;Cherry Hill, NJ;NJ;Eastern Time (US & Canada);Northeast
Spread Peace;female;Vanecrusher;Philanthropic;0;"Happy New Year! How about a #NewYearsResolution for the planet? I support @WWF with a daily tweet.
?_?http://t.co/Kuw74VFcWZ";;2014-12-31T11:46:00;2014-12-31;5,50377E+17;Miami;FL;Quito;South
Go to Europe;female;LeeorMV;Recreation & Leisure;0;"Happy New Year! How about a #NewYearsResolution for the planet? I support @WWF with a daily tweet.
?_?http://t.co/lNArMlgnfn";;2014-12-31T11:46:00;2014-12-31;5,50377E+17;New York, NY;NY;;Northeast
Improve my body;male;DonnyDouche;Health & Fitness;0;#NewYearsResolution I'm going to gain 150 pounds.;;2014-12-31T11:46:00;2014-12-31;5,50377E+17;Siouxage Falls, South Dakota;SD;Eastern Time (US & Canada);Midwest
Improve my attitude;male;ericmessick;Personal Growth;0;My #NewYearsResolution - to sharpen my mind.;;2014-12-31T11:45:00;2014-12-31;5,50377E+17;New London, Connecticut;CT;Eastern Time (US & Canada);Northeast
Run a half / full marathon;female;rebeflynn;Health & Fitness;0;Or.. #NewYearsResolution to practice #yoga every dang day. #champagneyogi;;2014-12-31T11:45:00;2014-12-31;5,50377E+17;Brooklyn, NY;NY;Eastern Time (US & Canada);Northeast
Adopt a pet;male;MikeyManker;Personal Growth;0;"act like i've been there before

#NewYearsResolution";;2014-12-31T11:45:00;2014-12-31;5,50377E+17;Chicago;IL;;Midwest
Have a baby;female;mannaforlife;Family/Friends/Relationships;0;Goal #3: I will spend more time with my friends and family. #NewYearsResolution #NewYearsEve;;2014-12-31T11:45:00;2014-12-31;5,50377E+17;San Diego, CA;CA;Pacific Time (US & Canada);West
Donate more to charity;female;kimberly_hood;Philanthropic;0;"Happy New Year! How about a #NewYearsResolution for the planet? I support @WWF with a daily tweet.
?_?http://t.co/rHyEP86iVL";;2014-12-31T11:45:00;2014-12-31;5,50377E+17;sikeston MO;MO;Eastern Time (US & Canada);Midwest
Humor about Recreation and Leisure Resolutions;female;ThatBlondeWon;Humor;0;#NewYearsResolution make the same mistakes and learn the same lessons I did in 2014, 2013....2009.;;2014-12-31T11:44:00;2014-12-31;5,50377E+17;lafayette, in;IN;Central Time (US & Canada);Midwest
Donate more to charity;female;NoelleEschete;Philanthropic;0;"Happy New Year! How about a #NewYearsResolution for the planet? I support @WWF with a daily tweet.
?_?http://t.co/SLAgSaVnGP";;2014-12-31T11:44:00;2014-12-31;5,50377E+17;Mount Venron, WA;WA;Arizona;West
Focus on Religion and Faith;female;Dai13ful;Personal Growth;0;his New Year I want to be closer to God and take other people with me. #NewYearsResolution;;2014-12-31T11:44:00;2014-12-31;5,50377E+17;Vegas!;NV;Arizona;West
Humor about Personal Growth and Interests Resolutions;male;ThankTankCr8;Humor;0;#NewYearsResolution #6: stop making numbered lists.;;2014-12-31T11:44:00;2014-12-31;5,50377E+17;Ithaca, NY;NY;Eastern Time (US & Canada);Northeast
Update my wardrobe;male;gearhead_89;Personal Growth;0;My only #NewYearsResolution for 2015 is not to fall for the same crap I did in 2014 or 2013.  #liveandlearn #NewYearsEve;;2014-12-31T11:43:00;2014-12-31;5,50377E+17;Tennessee;TN;;South
Humor about Health and Fitness Resolutions;female;Leighannadam;Humor;1;RT @jaymichaels13: #NewYearsResolution @Leighannadam more youthful experiments LOL! No seriously!;;2014-12-31T11:43:00;2014-12-31;5,50377E+17;Dallas, TX;TX;Central Time (US & Canada);South
Donate more to charity;female;Good2BJenn;Philanthropic;0;"Happy New Year! How about a #NewYearsResolution for the planet? I support @WWF with a daily tweet.
?_?http://t.co/sRVu6ivz7i";;2014-12-31T11:43:00;2014-12-31;5,50377E+17;Texas;TX;Central Time (US & Canada);South
Acheive My Goals;female;Nancy_Flock;Personal Growth;0;Set ambitious realistic goals and don't be afraid of failure. If you fail, learn the lesson and keep moving forward #NewYearsResolution;;2014-12-31T11:43:00;2014-12-31;5,50377E+17;North Platte, Nebraska;NE;Central Time (US & Canada);Midwest
Lose weight;female;itsFishieWOOT;Health & Fitness;0;#NewYearsResolution Going to lose 30lb and get toned with @Siothehunter32 along with #crocheting doilies so the beautiful art won't die out.;;2014-12-31T11:43:00;2014-12-31;5,50377E+17;Anaheim, California;CA;Pacific Time (US & Canada);West
Spend less time on Facebook;female;maggie_estella;Personal Growth;0;My #NewYearsResolution is to eat more nachos. I've been neglecting them;;2014-12-31T11:42:00;2014-12-31;5,50377E+17;Milwaukee, Wisconsin;WI;Central Time (US & Canada);Midwest
Be more positive;male;BryanBenway;Personal Growth;0;My #NewYearsResolution. To continue being awesome.;;2014-12-31T11:42:00;2014-12-31;5,50377E+17;Boerne, TX (San Antonio area);TX;Central Time (US & Canada);South
Find a charity to support;female;Allen35Laura;Philanthropic;0;"Happy New Year! How about a #NewYearsResolution for the planet? I support @WWF with a daily tweet.
?_?http://t.co/1HCNJhmO7l";;2014-12-31T11:41:00;2014-12-31;5,50376E+17;Wytheville VA;VA;Atlantic Time (Canada);South
Work for myself;female;AuthorKaraJ;Career;0;Finish book two by March, work on book three, not jump off a bridge #NewYearsResolution #amwritingfantasy #steampunk;;2014-12-31T11:41:00;2014-12-31;5,50376E+17;Old Bridge, NJ;NJ;Eastern Time (US & Canada);Northeast
Donate more to charity;male;Mkaioh08;Philanthropic;0;"Happy New Year! How about a #NewYearsResolution for the planet? I support @WWF with a daily tweet.
?_?http://t.co/vPMJPDDDkf";;2014-12-31T11:41:00;2014-12-31;5,50376E+17;Beverly Hills;CA;Central Time (US & Canada);West
Read more books;male;abrahaMichael;Personal Growth;0;I was challenged to read a book a week by @PastorCLW at the start of 2014.  Finished #57 yesterday! #NewYearsResolution;;2014-12-31T17:45:00;2014-12-31;5,50468E+17;KC;MO;Mountain Time (US & Canada);Midwest
Humor about Health and Fitness Resolutions;male;reelcwizzle;Humor;0;I would like to eat 1 #pound of #redmeat per #day. #NewYearsResolution #2015 #bestolutions #manolutions;;2014-12-31T17:44:00;2014-12-31;5,50468E+17;Nashville;TN;;South
Read more books;male;SetonMotley;Personal Growth;0;I'll resolve what I always resolve: To be less of an idiot. #ResolutionsFor2015 #NewYearsResolution;;2014-12-31T17:43:00;2014-12-31;5,50467E+17;Holland Point, Maryland;MD;Arizona;South
Other;female;buzzfayed;Philanthropic;0;No more single use disposable plastics for me! #ZeroWaste2015 #NewYearsEve #NewYearsResolution Image @PostLandfill http://t.co/nGdwcZGsJR;;2014-12-31T17:42:00;2014-12-31;5,50467E+17;Boston-New Hampshire;NH;;Northeast
Spread Peace;male;TransAtheistPod;Philanthropic;4;"RT @grimalkinrn: I am going to talk to more White people about our racism.

#NewYearsResolution";;2014-12-31T17:42:00;2014-12-31;5,50467E+17;Minnesota;MN;;Midwest
Humor about Personal Growth and Interests Resolutions;male;bgdeuce13;Humor;0;???@Cinemax: #NewYearsResolution? Be more badass. http://t.co/R4BBOecfSF @ivanamilicevic?? best show on TV;;2014-12-31T17:41:00;2014-12-31;5,50467E+17;Wheeling, WV;WV;;South
Other;male;jeffreyzenner;Personal Growth;0;Learned of the bad news tonight @Cara__Miller. #NewYearsResolution is that you heal quickly! ??????;;2014-12-31T17:41:00;2014-12-31;5,50467E+17;Okemos, MI;MI;Eastern Time (US & Canada);Midwest
Improve my attitude;male;AustinMiller_43;Personal Growth;0;#NewYearsResolution Accept all chances to grow and evolve as an individual while also finding peace and acceptance when faced with change _?_?;;2014-12-31T17:41:00;2014-12-31;5,50467E+17;SC;SC;;South
Acheive My Goals;female;instantmint;Personal Growth;0;#NewYearsResolution to eat more, to eat all that I can. Also to draw more. Maybe make that comic. Oh also do good in school.;;2014-12-31T17:40:00;2014-12-31;5,50467E+17;Florida;FL;Atlantic Time (Canada);South
Humor about Family/Friends/Relationships Resolutions;male;DantheMan610;Humor;0;Stop stalking Val Kilmer. #NewYearsResolution;;2014-12-31T17:40:00;2014-12-31;5,50467E+17;Glen Mills, PA;PA;;Northeast
Be More Fun;male;davidlawrance;Personal Growth;0;Also this year I'm determined to try sushi for the first time. I hear it's made of raw fish! #yuck #NewYearsResolution;;2014-12-31T17:40:00;2014-12-31;5,50467E+17;Los Angeles;CA;Sydney;West
Humor about Personal Growth and Interests Resolutions;female;LeStrangeBird;Humor;0;#NewYearsResolution refer to Canada as beyond the wall.;[30.89993357, -84.57645994];2014-12-31T17:40:00;2014-12-31;5,50466E+17;tallahassee, fl;FL;Mountain Time (US & Canada);South
Re-organize;female;AmandaConsSci;Time Management/Organization;0;"I just dealt with &gt;500 emails. Only 1100 more to go. Sigh. #NewYearsResolution #InboxZero #YeahRight";;2014-12-31T17:39:00;2014-12-31;5,50466E+17;Seattle, WA;WA;Pacific Time (US & Canada);West
Make new friends;male;Nick_SarotteABC;Family/Friends/Relationships;0;#NewYearsResolution is to maintain my friendships with my wonderful friends, @osnapitzlyndsey, @Johnnyboyyy904, @AmandaDymek, @mymomsagingr;;2014-12-31T17:39:00;2014-12-31;5,50466E+17;Memphis, Michigan;MI;Atlantic Time (Canada);Midwest
Update my wardrobe;female;MillenaLee767;Personal Growth;0;New year, new me _??_ imma start putting on more makeup...weird resolution #NewYearsResolution http://t.co/myUxPAs6Pz;;2014-12-31T17:39:00;2014-12-31;5,50466E+17;Fairbanks, AK;AK;Alaska;West
Acheive My Goals;male;thetypeface;Personal Growth;0;New Years Resolution: make it happen. Oh, and try to get in the next Star Wars... somehow. #NewYearsResolution #StarWars @bad_robot;;2014-12-31T17:38:00;2014-12-31;5,50466E+17;New Jersey;NJ;;Northeast
Spend more time on my hobby;male;reelcwizzle;Recreation & Leisure;0;"If my life #music could just be the #soundtrack  from the ""Ocean's"" #movies, that would be #awesome. #NewYearsResolution #2015";;2014-12-31T17:38:00;2014-12-31;5,50466E+17;Nashville;TN;;South
Humor about Health and Fitness Resolutions;female;LeStrangeBird;Humor;0;#NewYearsResolution eat more jelly beans.;[30.89981999, -84.57606501];2014-12-31T17:38:00;2014-12-31;5,50466E+17;tallahassee, fl;FL;Mountain Time (US & Canada);South
Humor about Personal Growth and Interests Resolutions;male;DantheMan610;Humor;0;Going to continue being an asshole. #NewYearsResolution;;2014-12-31T17:38:00;2014-12-31;5,50466E+17;Glen Mills, PA;PA;;Northeast
Get a tattoo;male;CourtTalerico;Personal Growth;1;RT @alan_lonewolf: More tattoos #NewYearsResolution;;2014-12-31T17:36:00;2014-12-31;5,50466E+17;Healy, AK;AK;Mountain Time (US & Canada);West
Improve my body;male;jayyy_boiii;Health & Fitness;0;Today is a sad day today is the last day I will be smoking weed #NewYearsResolution;;2014-12-31T17:36:00;2014-12-31;5,50466E+17;Santa Clara;CA;;West
Be more positive;male;rileycuda;Personal Growth;0;"try not to blame everything bad in the world on yoko ono

#NewYearsResolution";;2014-12-31T17:36:00;2014-12-31;5,50465E+17;Los Angeles, CA;CA;;West
Humor about Recreation and Leisure Resolutions;male;limberback;Humor;0;@MarkPacker My New Year's Resolution starts early.....use the mute button anytime Jesse Palmer is doing a game. #NewYearsResolution;;2014-12-31T17:35:00;2014-12-31;5,50465E+17;Belmont, NC;NC;;South
Be more positive;male;rileycuda;Personal Growth;0;"be nicer to americans who say ""mum""

#NewYearsResolution";;2014-12-31T17:35:00;2014-12-31;5,50465E+17;Los Angeles, CA;CA;;West
Have more patience;male;iwilliamsurvive;Personal Growth;0;@Jaclynhill were opposites this year! My #NewYearsResolution is to wear more warm tones! All I do is silver, it's time for me to warm it up;;2014-12-31T17:35:00;2014-12-31;5,50465E+17;Worcester, MA;MA;Central Time (US & Canada);Northeast
Be more positive;female;elle805;Personal Growth;0;This year I will date more, kiss more, be smarter and choose wiser.  #NewYearsResolution;;2014-12-31T17:35:00;2014-12-31;5,50465E+17;Detroit;MI;;Midwest
Eat healthier;female;QueenElsie_;Health & Fitness;0;#NewYearsResolution stop eating so much!;;2014-12-31T17:35:00;2014-12-31;5,50465E+17;california;CA;Pacific Time (US & Canada);West
